Name,Type,County,pop_2020,pop_2010
Adelanto,City,San Bernardino,"38,046","31,765"
Agoura Hills,City,Los Angeles,"20,299","20,330"
Alameda,City,Alameda,"78,280","73,812"
Albany,City,Alameda,"20,271","18,539"
Alhambra,City,Los Angeles,"82,868","83,089"
Aliso Viejo,City,Orange,"52,176","47,823"
Alturas,City,Modoc,"2,715","2,827"
Amador City,City,Amador,200,185
American Canyon,City,Napa,"21,837","19,454"
Anaheim,City,Orange,"346,824","336,265"
Anderson,City,Shasta,"11,323","9,932"
Angels Camp,City,Calaveras,"3,667","3,836"
Antioch,City,Contra Costa,"115,291","102,372"
Apple Valley,Town,San Bernardino,"75,791","69,135"
Arcadia,City,Los Angeles,"56,681","56,364"
Arcata,City,Humboldt,"18,857","17,231"
Arroyo Grande,City,San Luis Obispo,"18,441","17,252"
Artesia,City,Los Angeles,"16,395","16,522"
Arvin,City,Kern,"19,495","19,304"
Atascadero,City,San Luis Obispo,"29,773","28,310"
Atherton,Town,San Mateo,"7,188","6,914"
Atwater,City,Merced,"31,970","28,168"
Auburn,City,Placer,"13,776","13,330"
Avalon,City,Los Angeles,"3,460","3,728"
Avenal,City,Kings,"13,696","15,505"
Azusa,City,Los Angeles,"50,000","46,361"
Bakersfield,City,Kern,"403,455","347,483"
Baldwin Park,City,Los Angeles,"72,176","75,390"
Banning,City,Riverside,"29,505","29,603"
Barstow,City,San Bernardino,"25,415","22,639"
Beaumont,City,Riverside,"53,036","36,877"
Bell,City,Los Angeles,"33,559","35,477"
Bell Gardens,City,Los Angeles,"39,501","42,072"
Bellflower,City,Los Angeles,"79,190","76,616"
Belmont,City,San Mateo,"28,335","25,835"
Belvedere,City,Marin,"2,126","2,068"
Benicia,City,Solano,"27,131","26,997"
Berkeley,City,Alameda,"124,321","112,580"
Beverly Hills,City,Los Angeles,"32,701","34,109"
Big Bear Lake,City,San Bernardino,"5,046","5,019"
Biggs,City,Butte,"1,964","1,707"
Bishop,City,Inyo,"3,819","3,879"
Blue Lake,City,Humboldt,"1,208","1,253"
Blythe,City,Riverside,"18,317","20,817"
